ID,SYMBOL,ACTION,VOLUME,PRICE,SL_POINTS,TP_POINTS,TICKET,COMMENT,TIME
1,EURUSD,BUY,0.01,0,50,100,0,Sygnał testowy,2024-05-29 10:00:00
2,GBPUSD,SELL,0.01,0,50,100,0,Sygnał testowy,2024-05-29 10:05:00
3,USDJPY,CLOSE,0.01,0,0,0,88673813,Zamknięcie pozycji,2024-05-29 10:10:00
4,2023-03-03 15:03:22,,CLOSE,0.0,0.0,0,0,88538278,Close position #88538278,2023-03-03 15:03:22
5,2023-03-03 15:03:40,,CLOSE,0.0,0.0,0,0,88538306,Close position #88538306,2023-03-03 15:03:40
6,2023-03-03 15:03:58,,CLOSE,0.0,0.0,0,0,88538306,Close position #88538306,2023-03-03 15:03:58
7,2023-03-03 15:06:33,,CLOSE,0.0,0.0,0,0,88538306,Close position #88538306,2023-03-03 15:06:33
8,2023-03-03 15:09:34,USDJPY,BUY,0.01,0,100,200,0,API Trade,2023-03-03 15:09:34
9,2023-03-03 15:10:27,,CLOSE,0.0,0.0,0,0,88538306,Close position #88538306,2023-03-03 15:10:27
10,2023-03-04 09:26:05,,CLOSE,0.0,0.0,0,0,88673813,Close position #88673813,2023-03-04 09:26:05
11,2023-03-04 09:56:39,,CLOSE,0.0,0.0,0,0,88688397,Close position #88688397,2023-03-04 09:56:39
12,2023-03-04 09:56:46,EURUSD,BUY,0.01,0,100,200,0,API Trade,2023-03-04 09:56:46
13,2023-03-04 10:04:43,EURUSD,BUY,0.01,0,100,200,0,API Trade,2023-03-04 10:04:43
14,2023-03-04 10:04:58,,CLOSE,0.0,0.0,0,0,88688397,Close position #88688397,2023-03-04 10:04:58
15,2023-03-04 10:05:07,,CLOSE,0.0,0.0,0,0,88673813,Close position #88673813,2023-03-04 10:05:07
16,2023-03-04 10:05:11,,CLOSE,0.0,0.0,0,0,88621640,Close position #88621640,2023-03-04 10:05:11
17,2025-03-04 10:30:00,EURUSD,BUY,0.02,0,150,300,0,TEST Signal,2025-03-04 10:30:00
18,2025-03-04 20:33:22,EURUSD,BUY,0.01,0,100,200,0,API Trade,2025-03-04 20:33:22
19,2025-03-04 20:35:59,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 20:35:59
20,2025-03-04 20:36:52,,CLOSE,0.0,0.0,0,0,88786326,Close position #88786326,2025-03-04 20:36:52
21,2025-03-04 23:59:59,EURUSD,BUY,0.01,0,100,200,0,Nowy testowy sygnał BUY,2025-03-04 23:59:59
22,2025-03-05 00:00:01,GBPUSD,SELL,0.01,0,100,200,0,Nowy testowy sygnał SELL,2025-03-05 00:00:01
23,2025-03-05 00:00:02,USDJPY,BUY,0.02,0,150,300,0,Nowy testowy sygnał BUY duży SL/TP,2025-03-05 00:00:02
24,2025-03-04 20:48:34,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 20:48:34
25,2025-03-04 20:48:39,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 20:48:39
26,2025-03-04 21:34:57,EURUSD,BUY,0.01,0,100,200,0,API Trade,2025-03-04 21:34:57
27,2025-03-04 21:35:47,,CLOSE,0.0,0.0,0,0,88786836,Close position #88786836,2025-03-04 21:35:47
28,2025-03-04 23:30:00,EURUSD,BUY,0.01,0,100,200,0,Aktualny sygnał BUY,2025-03-04 23:30:00
29,2025-03-04 23:31:00,GBPUSD,SELL,0.01,0,100,200,0,Aktualny sygnał SELL,2025-03-04 23:31:00
30,2025-03-04 23:32:00,USDJPY,BUY,0.02,0,150,300,0,Aktualny sygnał BUY,2025-03-04 23:32:00
31,2025-03-04 21:44:24,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 21:44:24
32,2025-03-04 21:44:41,,CLOSE,0.0,0.0,0,0,88786326,Close position #88786326,2025-03-04 21:44:41
33,2025-03-04 21:44:42,,CLOSE,0.0,0.0,0,0,88786836,Close position #88786836,2025-03-04 21:44:42
34,2025-03-04 21:44:43,,CLOSE,0.0,0.0,0,0,88621640,Close position #88621640,2025-03-04 21:44:43
35,2025-03-04 21:44:44,,CLOSE,0.0,0.0,0,0,88673813,Close position #88673813,2025-03-04 21:44:44
36,2025-03-04 21:44:45,,CLOSE,0.0,0.0,0,0,88688397,Close position #88688397,2025-03-04 21:44:45
37,2025-03-04 21:44:45,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 21:44:45
38,2025-03-04 21:44:46,,CLOSE,0.0,0.0,0,0,88786326,Close position #88786326,2025-03-04 21:44:46
39,2025-03-04 21:44:47,,CLOSE,0.0,0.0,0,0,88786836,Close position #88786836,2025-03-04 21:44:47
40,2025-03-04 21:54:30,,CLOSE,0.0,0.0,0,0,88673813,Close position #88673813,2025-03-04 21:54:30
41,2025-03-04 22:20:10,,CLOSE,0.0,0.0,0,0,88786213,Close position #88786213,2025-03-04 22:20:10
42,2025-03-04 22:35:42,,CLOSE,0.0,0.0,0,0,88786836,Close position #88786836,2025-03-04 22:35:42
43,2025-03-04 22:35:57,,CLOSE,0.0,0.0,0,0,88673813,Close position #88673813,2025-03-04 22:35:57
